Category,SubCat,HumanSymbol,GeneCardOrtho,FBgn
Synaptic Formation,Synaptic Formation,ACHE,CG5397,FBgn0031327
Synaptic Formation,Synaptic Formation,ACHE,CG6018,FBgn0034736
Synaptic Formation,Synaptic Formation,ACHE,CG6414,FBgn0029690
Synaptic Formation,Synaptic Formation,ACHE,CG7529,FBgn0037090
Synaptic Formation,Synaptic Formation,ACHE,CG8424,FBgn0034076
Synaptic Formation,Synaptic Formation,CHAT,Cha,FBgn0000303
Synaptic Formation,Synaptic Formation,ACHE,clt,FBgn0000326
Synaptic Formation,Synaptic Formation,ACHE,Est-6,FBgn0000592
Synaptic Formation,Synaptic Formation,ACHE,Est-P,FBgn0000594
Synaptic Formation,Synaptic Formation,ACHE,Gli,FBgn0001987
Synaptic Formation,Synaptic Formation,ACHE,Jhe,FBgn0010052
Synaptic Formation,Synaptic Formation,APBB1,none,
Synaptic Formation,Synaptic Formation,APBB2,none,
Synaptic Formation,Synaptic Formation,APOE,none,
Synaptic Formation,Synaptic Formation,BDNF,none,
Synaptic Formation,Synaptic Formation,APBA1 (MINT1),X11L,FBgn0026313
Synaptic Formation,Synaptic Formation,APBA1 (MINT1),X11Lbeta,FBgn0052677
Transcriptional Regulation,Transcriptional Regulation,ERN1,ire-1,FBgn0261984
Transcriptional Regulation,Transcriptional Regulation,ERN1,Ire1,FBgn0261984
Transcriptional Regulation,Transcriptional Regulation,EP300,nej,FBgn0261617
Transcriptional Regulation,Transcriptional Regulation,APBB1,none,
Transcriptional Regulation,Transcriptional Regulation,APBB2,none,
